DateStr,MediaGroup,TotalEvents,TotalArticles,TotalMentions,TotalSources,AvgTone,WeightedTone,AvgGoldstein,MinTone,MaxTone,StdTone,Date
2025-03-27,Western,8,31,31,8,-0.6112629389776124,-1.5491287781822374,-0.55,-4.08997955010225,0.15535991714138,1.5530808046520805,2025-03-27
2025-03-28,Chinese,4,33,33,4,-2.9960161964472323,-2.920862227288561,0.5,-4.6875,-1.04166666666667,1.9649144689422557,2025-03-28
2025-03-28,Global/Other,185,712,714,190,-1.7259147223984803,-1.5776082991752083,-1.6183783783783785,-12.03007518797,4.36781609195403,2.794860097492485,2025-03-28
2025-03-28,Western,14,32,32,14,-2.5313428313996313,-2.6669230818654377,-1.2714285714285716,-5.40644171779141,0.0,1.6343910806569004,2025-03-28
2025-03-29,Global/Other,92,269,269,92,-1.6344829405902292,-1.621673629066393,-1.5021739130434781,-12.6027397260274,3.13199105145414,3.0703291246601534,2025-03-29
2025-03-29,Western,3,6,6,3,-2.6387153851354737,-2.6387153851354737,-0.8666666666666667,-4.46927374301676,-0.52910052910053,1.9848540590650676,2025-03-29
2025-03-30,Chinese,2,8,8,2,-3.46964064436183,-3.46964064436183,0.0,-3.46964064436183,-3.46964064436183,0.0,2025-03-30
2025-03-30,Global/Other,91,346,346,91,-1.709837325615154,-1.4652478551384664,-1.586813186813187,-10.9271523178808,9.13705583756345,3.3125211570227884,2025-03-30
2025-03-30,Western,4,6,6,4,-4.08418427526708,-3.3224367831586537,-2.7,-6.36942675159236,-1.7989417989418,2.6387707177399347,2025-03-30
2025-03-31,Chinese,5,34,34,5,0.891084490469002,0.2752862394400053,-1.8800000000000001,-2.34741784037559,3.65217391304348,2.865018120910006,2025-03-31
2025-03-31,Global/Other,133,492,492,137,-2.831241828396088,-2.721649761178875,-1.5466165413533837,-13.8888888888889,2.58899676375404,2.8252930707353983,2025-03-31
2025-03-31,Western,13,44,47,13,-3.9033569519236404,-3.920251608321243,-2.323076923076923,-7.02380952380952,-0.9375,2.257028790740409,2025-03-31
2025-04-01,Chinese,8,42,42,8,-4.544264129969853,-4.905891675445166,-4.925,-6.57276995305164,-3.14192849404117,1.6858819198653137,2025-04-01
2025-04-01,Global/Other,257,946,946,265,-2.5332400341706474,-2.878148239903052,-1.6373540856031128,-10.4395604395605,6.83453237410072,3.1301932388907434,2025-04-01
2025-04-01,Western,8,27,27,8,-3.172310716866278,-2.2374614105424935,-2.525,-8.02603036876356,-0.91743119266055,3.030022402758981,2025-04-01
2025-04-02,Chinese,8,31,31,8,-1.9734246779081799,-2.161667212153804,0.525,-4.17362270450751,1.51515151515152,2.2531243269440497,2025-04-02
2025-04-02,Global/Other,241,865,885,247,-3.4482745315756236,-3.4738744054293735,-1.7738589211618256,-16.260162601626,7.98403193612777,3.138756288335291,2025-04-02
2025-04-02,Western,15,37,37,15,-2.479431829843768,-2.147248732465356,-2.12,-5.83090379008747,2.38095238095238,2.164723812986252,2025-04-02
2025-04-03,Chinese,8,42,42,8,-2.7562478542566526,-3.035985327920602,-1.125,-3.99305555555556,-1.5625,0.992277338855,2025-04-03
2025-04-03,Global/Other,341,1518,1528,367,-2.3778144668367935,-2.3654620044855137,-1.4891495601173022,-14.2857142857143,3.75426621160409,2.3863781118480785,2025-04-03
2025-04-03,Western,35,87,87,35,-2.3244105413202405,-2.3101004160529164,-2.0914285714285716,-5.51282051282052,1.55642023346303,1.7153609369091538,2025-04-03
2025-04-04,Chinese,4,24,24,4,-1.88331907897286,-1.8165472295489298,1.0,-2.85714285714286,-1.03950103950104,0.8884699603146881,2025-04-04
2025-04-04,Global/Other,383,1761,1794,437,-2.224528466051044,-2.578576767229948,-1.2193211488250653,-12.280701754386,4.87804878048781,2.63716764916089,2025-04-04
2025-04-04,Western,22,66,66,22,-2.4083407058512614,-2.634723276803901,-0.8454545454545456,-7.31707317073171,0.0,1.5408966362191505,2025-04-04
2025-04-05,Chinese,1,2,2,1,-2.06659012629161,-2.06659012629161,3.0,-2.06659012629161,-2.06659012629161,,2025-04-05
2025-04-05,Global/Other,202,937,937,211,-1.8012523596939451,-1.6934649197878435,-1.3044554455445545,-8.45070422535211,7.07964601769911,2.6755807973275343,2025-04-05
2025-04-05,Western,11,36,36,11,-1.5200490074884356,-0.46243327503505127,-1.4363636363636365,-4.26621160409556,3.82293762575453,2.312494868035793,2025-04-05
2025-04-06,Chinese,2,10,10,2,-0.90252707581228,-0.9025270758122799,-2.0,-0.90252707581228,-0.90252707581228,0.0,2025-04-06
2025-04-06,Global/Other,115,428,428,115,-2.0097698489869016,-1.9402736597311252,-2.0382608695652173,-11.6331096196868,10.0990099009901,3.0903492444050586,2025-04-06
2025-04-06,Western,9,31,31,9,-2.429897947513001,-3.003537413443536,-2.2,-6.88935281837161,-1.10552763819095,1.9902404512659695,2025-04-06
2025-04-07,Chinese,15,72,72,16,-0.8189568758969393,-0.811170981439224,-0.49333333333333335,-3.39622641509434,1.33928571428571,1.6454663392370297,2025-04-07
2025-04-07,Global/Other,309,1241,1253,316,-2.9363468902095393,-2.791252195009283,-1.4757281553398058,-23.970398970399,6.16438356164384,3.219089206975228,2025-04-07
2025-04-07,Western,16,38,39,16,-3.789777048374182,-4.660192220380015,-2.1,-8.21917808219178,-1.26728110599078,1.9662649120925526,2025-04-07
2025-04-08,Chinese,19,114,117,19,-4.248095286786497,-3.6027810797312814,-2.3684210526315788,-9.09090909090909,0.0,2.132944110828211,2025-04-08
2025-04-08,Global/Other,606,2303,2332,643,-3.226867350479787,-3.4704669952950513,-1.7443894389438945,-14.5833333333333,5.89410589410589,2.8162826841412913,2025-04-08
2025-04-08,Western,39,91,91,39,-3.4434645598303413,-3.510823526037076,-2.502564102564103,-6.49350649350649,-0.21834061135371,1.2667730129257693,2025-04-08
2025-04-09,Chinese,12,55,55,12,-1.6236884213908567,-1.3128328015304997,-3.533333333333333,-4.70588235294118,3.54609929078014,2.7515122221127757,2025-04-09
